no,name,year,description,developer,genre,ratings,harga,toko_1,alamat_1,toko_2,alamat_2,toko_3,alamat_3
131,Mortal Shell,2020,"Mortal Shell is a ruthless and deep action-RPG that tests your sanity and resilience in a shattered world. Your adversaries spare no mercy, with survival demanding superior awareness, precision and instincts. Possess lost warriors, track down hidden sanctums of the devout, and face formidable foes. ""Awakening as an empty vessel, you will enter into a shattered and twisted world where the remains of humanity wither and rot. Implored to do the bidding of the mysterious “Dark Father”, you must traverse this tattered landscape and track down hidden sanctums of devout followers. There, in Mortal Shell’s most hallowed grounds, you must overcome formidable foes and harvest the sacred glands. You won’t be truly alone when the dead litter your path: Scattered across this land are the remnant anima of lost warriors who can be inhabited to gain their unique abilities and knowledge of weapons. The Dark Father is desperate for you to complete your task — but to what end? Discover “Shells” to Suit Your Playstyle - The lost remains of defeated warriors are yours to unearth. Awaken these Mortal Shells, occupy their bodies and significantly widen your understanding of different forms of combat. Inhabit a Shell that best fits your style and utilizes their own unique mastery of skills and weapon upgrades. Iron Sharpens Iron - Combat is strategic and deliberate. Survival demands superior awareness, precision and instincts. You must commit your sword only when an opportunity opens. Calculate your parries to unleash devastating counterblows. Non-linear Campaign - Draw your own path across marsh-infested lowlands, through a gargantuan cathedral of obsidian rock, and into an ancient crypt frozen into the crest of a mountain. Deep Upgrade Paths - The stronger your connection to each Mortal Shell grows, the better you can harness their innate talents. Craft unique upgrades, sharpen your blade with acid, and study dark arcane abilities that imbue your attacks with supernatural devastation. Face Haunting Foes - Your path is guarded by desperate adversaries, devoted to inscrutable gods. Behold creatures both pitiable and grotesque, but do not let fear halt your journey. Muster your courage and face them down. Developed by AAA Veterans - Mortal Shell has been developed by a coalition of seasoned veterans with an unbridled passion for the soulslike genre.""",Cold Symmetry,"Role-playing (RPG), Indie",3.9,399000,,,,,,
132,Riders Republic,2021,"Jump into the Riders Republic massive multiplayer playground! Bike, ski, snowboard, or wingsuit across an open world sports paradise. Join a massive multiplayer community and participate in an avalanche of diverse activities in real time with others!",Ubisoft Annecy,"Racing, Simulator, Sport",4.1,749000,,,,,,
133,Samurai Warriors 5,2021,"Experience exhilarating action set in a dramatic historical setting in SAMURAI WARRIORS 5. As the latest numbered entry in the SAMURAI WARRIORS franchise, the story, characters, and visuals have been re-imagined to set the stage for a thrilling new series. The story takes place after the Ōnin War during the golden age of the Sengoku period, and features a story that centers on the lives of two of the most representative military commanders of this era: Nobunaga Oda and Mitsuhide Akechi.",Omega Force,"Hack and slash/Beat 'em up, Adventure",4,550000,,,,,,
134,Grand Theft Auto: The Trilogy-The Definitive Edition,2021,"Grand Theft Auto: The Trilogy – The Definitive Edition is a compilation remaster of Grand Theft Auto III, Grand Theft Auto: Vice City, and Grand Theft Auto: San Andreas developed by Grove Street Games and published by Rockstar Games. The game was released for PlayStation 5, Xbox X/S, Nintendo Switch, PC, PlayStation 4, and Xbox One. The game features visual enhancements and gameplay upgrades including a rebuilt lighting system, upgraded vehicle and character models, new navigation and heads-up display designs, and improved shadows, reflections, and draw distances.  ",Grove Street Games,"Action, Adventure",2.5,699000,,,,,,
135,Mafia 3,2016,"It’s 1968 and the rules have changed. After years in Vietnam, Lincoln Clay knows this truth: Family isn’t who you’re born with, it’s who you die for.",Hangar 13,"Shooter, Racing, Adventure",3.9,453000,,,,,,
136,LEGO Marvel Super Heroes,2013,"Lego Marvel Super Heroes is a 2013 Lego-themed action-adventure video game developed by Traveller's Tales and published by Warner Bros. Interactive Entertainment for the PlayStation 3, Xbox 360, Wii U, PlayStation 4, Xbox One, Nintendo Switch, and Microsoft Windows, and published by Feral Interactive for OS X. The game features gameplay similar to other Lego titles, such as Lego Star Wars: The Complete Saga and Lego Batman 2: DC Super Heroes, alternating between various action adventure sequences and puzzle solving scenarios. The handheld version of the game by TT Fusion was released under the title Lego Marvel Super Heroes: Universe in Peril for iOS, Android, Nintendo DS, Nintendo 3DS and PlayStation Vita. A Nintendo Switch version was released on October 8, 2021.",Traveller's Tales,"Puzzle, Hack and slash/Beat 'em up, Adventure",3.2,246000,,,,,,
137,Destiny 2,2017,"Dive into the world of Destiny 2 to explore the mysteries of the solar system and experience responsive first-person shooter combat. Unlock powerful elemental abilities and collect unique gear to customize your Guardian's look and playstyle. Enjoy Destiny 2’s cinematic story, challenging co-op missions, and a variety of PvP modes alone or with friends. Download for free today and write your legend in the stars.",Bungie,"Shooter, Role-playing (RPG), Adventure",3.9,345000,,,,,,
138,Back 4 Blood,2021,"Back 4 Blood is a thrilling cooperative first-person shooter from the creators of the critically acclaimed Left 4 Dead franchise. You are at the center of a war against the Ridden. These once-human hosts of a deadly parasite have turned into terrifying creatures bent on devouring what remains of civilization. With humanity’s extinction on the line, it’s up to you and your friends to take the fight to the enemy, eradicate the Ridden, and reclaim the world.",Turtle Rock Studios,Shooter,3.1,790000,,,,,,
139,Pocky & Rocky,1992,"Pocky & Rocky is a 1992 scrolling shooter video game developed and published by Natsume for the Super Nintendo Entertainment System (Super NES). It is the sequel to Taito's 1986 arcade game KiKi KaiKai. Pocky & Rocky follows the adventures of a young Shinto shrine maiden, Pocky, and her new tanuki companion, Rocky, as they attempt to save a group of goblins from evil forces. Gameplay takes place from a top-down perspective and features both single-player and cooperative modes. ","Natsume Co., Ltd.",Shooter,4.5,463000,,,,,,
140,PGA Tour 2K23,2022,"Hit the links with more swagger in PGA Tour 2K23. Now featuring playable male and female pros, including Tiger Woods, new licensed courses, more control options, an authentic PGA Tour MyCareer, Course Designer, and new MyPlayer Skills and Archetypes! PGA Tour 2K23. More Golf. More Game.",HB Studios,"Role-playing (RPG), Simulator, Sport",2,295000,,,,,,
141,MultiVersus,2022,"MultiVersus is a free-to-play multiplayer fighting game developed by Player First Games and published by Warner Bros. Interactive Entertainment. The game was released for PlayStation 5, Xbox X/S, PC, PlayStation 4, and Xbox One in 2022. The game features various characters within the Warner Bros. Discovery catalog, including those from Warner Bros., DC Comics, HBO, Turner Entertainment, Adult Swim and Cartoon Network and have players battle on different stages and attempt to knock their opponents outside the boundaries of the arena.  ",Player First Games,"Fighting, Multiplayer",3,829000,,,,,,
142,Midnight Fight Express,2022,"Fight your way across the city in a brutal romp that mixes old school brawlers and fast-paced motion-captured combat. You’re Babyface, a former member of the criminal underworld lured back into “the life” by a mysterious AI drone. Your mission against impossible odds: Fight your way across the city before sunrise, and prevent a citywide criminal takeover together.",Jacob Dzwinel,"Fighting, Shooter, Hack and slash/Beat 'em up, Adventure, Indie",4,110000,,,,,,
143,Severed Steel,2021,"Severed Steel is a stylish and visceral single-player FPS featuring a fluid stunt system, destructible voxel environments, loads of bullet time, a unique one-armed protagonist, and a dark electronic soundtrack.",Greylock Studio,"Shooter, Indie",3.8,330000,,,,,,
144,The Stanley Parable: Ultra Deluxe,2022,"The Stanley Parable: Ultra Deluxe is an expanded re-imagining of 2013's The Stanley Parable. You will play as Stanley, and you will not play as Stanley. You will make a choice, and you will become powerless. You are not here to win. The Stanley Parable is a game that plays you.",Crows Crows Crows,"Simulator, Adventure",4.8,391352,,,,,,
145,Call of Duty: Vanguard,2021,"This is WWII combat like never before. Witness the origins of Special Forces as you play a pivotal role and change the face of history, forming Task Force One in a gripping Campaign across four major theaters of war. Become an original Special Forces Operator in an online Multiplayer rich in innovation with 20 maps available at launch. Prepare for a franchise-first, universe-expanding Zombies crossover. Immerse yourself in a fully integrated Call of Duty: Warzone experience featuring a new and massive map. This is the most connected Call of Duty ever, all powered by the next generation Call of Duty engine introduced in Modern Warfare. This is Call of Duty: Vanguard.",Sledgehammer Games,Shooter,2.5,1025000,,,,,,
146,Sonic Origins,2022,"Celebrate the games that started it all. Sonic Origins is a brand new collection including Sonic the Hedgehog, Sonic CD, Sonic the Hedgehog 2, and Sonic 3 & Knuckles. Play as Sonic, Tails, & Knuckles and immerse yourself in the fully remastered gameplay, tie the games together with all new animations, explore added features, modes, and more. The versions of Sonic the Hedgehog, Sonic the Hedgehog 2 and Sonic CD in this compilation are ports of the remasters previously released for mobile, platforms, with the added Drop Dash ability from Sonic Mania. The Sonic the Hedgehog 3 & Knuckles version is brand new for this compilation, and is also a remaster in the same way that the other titles, also adding the Drop Dash ability. This version had part of its soundtrack changed, swapping the songs for those present in the PC port of the Sonic & Knuckles Collection.",Sega,"Platform, Adventure",4.1,595000,,,,,,
147,Madden NFL 22,2021,"Madden NFL 22 is where gameday happens. All-new features in Franchise include staff management, an enhanced scenario engine, and weekly strategy. Share avatar progress and player class between Face of The Franchise and The Yard with unified progression. And for the first time ever in Ultimate Team, adjust Superstar X-Factors at halftime.",EA Orlando,Sport,1.6,190000,,,,,,
148,Minecraft Dungeons,2020,"""Brave the dungeons alone, or team up with friends! Up to four players can battle together through action-packed, treasure-stuffed, wildly varied levels, all in an epic quest to save the villagers and take down the evil Arch-Illager! Discover new weapons and items that will help you defeat a ruthless swarm of new-and-nasty mobs. Fight or flee through canyons, swamps and – of course – mines! Any adventurer brave or foolish enough (or a bit-of-both!) to explore this blocky and beautiful world will need to come prepared. So quickly, gear up!""",Mojang Studios,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",4.4,219000,,,,,,
149,Demon Slayer: Kimetsu no Yaiba-The Hinokami Chronicles,2021,"Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles is a 3D fighting game developed by CyberConnect2 and published by Sega. Based on the 2019 anime adaptation of Koyoharu Gotouge's manga series, Demon Slayer: Kimetsu no Yaiba, the game was released for PlayStation 5, Xbox X/S, PC, PlayStation 4, and Xbox One in 2021. Adapting the events of the first season of the anime series and Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train, the game's single player story mode follows Tanjiro Kamado, as he joins the Demon Slayer Corps and faces off against various demons in order to turn his demon sister Nezuko back into a human.  ",CyberConnect2,"Anime, Fighting",4.3,749000,,,,,,
